ticker,style,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,stop_loss,take_profit,entry_atr,n_adds,result_eur,result_pct
NOC,VALUE,2024-12-05,469.9972,0.3245,2025-01-07,444.3391,stop_loss_atr,444.3391,495.6553,8.5527,0,-8.33,-5.46
BAC,VALUE,2024-12-18,42.7713,5.3673,2025-01-07,45.2565,take_profit_atr,43.6809062249016,45.256499999999996,0.8284,1,13.34,5.81
EXPE,VALUE,2024-12-18,174.484,0.3334,2025-01-08,179.0392,value_trailing_stop,179.0392334411059,188.4616,4.6592,0,1.52,2.61
GS,VALUE,2024-12-18,547.5139,0.3725,2025-01-10,553.8966,value_trailing_stop,553.8966343542817,584.7658,12.4173,1,2.38,1.17
EXC,VALUE,2024-12-12,35.2727,11.401499999999999,2025-01-13,35.6234,value_trailing_stop,35.623377066067775,37.0601,0.5958,1,4.0,0.99
LVS,VALUE,2024-12-18,49.4144,1.1772,2025-01-13,45.1955,stop_loss_atr,45.1955,53.6333,1.4063,0,-4.97,-8.54
GOOGL,MOMENTUM,2024-12-20,190.5768,0.2846,2025-01-13,186.7413,trailing_stop,186.74128149676548,206.5773,5.3335,0,-1.09,-2.01
NOC,VALUE,2025-01-07,443.3598,0.2301,2025-01-13,451.88,value_trailing_stop,451.8799987116961,467.1555,7.9319,0,1.96,1.92
GD,VALUE,2024-12-12,257.6775,0.00010000000000001297,2025-01-13,256.0584,EMA-50 abaixo de EMA-200 — tendência inv,242.0061,273.3489,5.2238,1,-0.0,-0.63
GE,VALUE,2024-12-12,159.9607,2.4532,2025-01-14,172.7782,take_profit_atr,168.08967761767627,172.7782,4.2725,1,31.44,8.01
RRC,MOMENTUM,2024-12-30,35.7214,10.7239,2025-01-14,38.9617,take_profit_atr,36.58433088498164,38.9617,1.0801,1,34.75,9.07
BLK,VALUE,2025-01-07,938.001,0.40140000000000003,2025-01-15,998.9193,take_profit_atr,958.6763296149376,998.9193,20.3061,1,24.45,6.49
